"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 12:45:43 GMT 2024","Tue Apr 23 12:45:43 GMT 2024","218","","api.test.update.UpdateBoardValidationTest","","api.test.update.UpdateBoardValidationTest","checkUpdateBoardWithInvalidAuth","checkUpdateBoardWithInvalidAuth(AuthValidationArgumentsHolder) [1] api.arguments.holders.AuthValidationArgumentsHolder@5f30bcf3",""
"passed","Tue Apr 23 12:45:40 GMT 2024","Tue Apr 23 12:45:41 GMT 2024","154","","api.test.get.GetBoardsValidationTest","","api.test.get.GetBoardsValidationTest","checkGetBoardWithInvalidAuth","checkGetBoardWithInvalidAuth(AuthValidationArgumentsHolder) [1] api.arguments.holders.AuthValidationArgumentsHolder@2a38b5c7",""
"passed","Tue Apr 23 12:45:45 GMT 2024","Tue Apr 23 12:45:45 GMT 2024","132","","api.test.update.UpdateCardIdValidationTest","","api.test.update.UpdateCardIdValidationTest","checkUpdateCardWithInvalidCredentials","checkUpdateCardWithInvalidCredentials(AuthValidationArgumentsHolder) [3] api.arguments.holders.AuthValidationArgumentsHolder@7ab7a4eb",""
"passed","Tue Apr 23 12:45:45 GMT 2024","Tue Apr 23 12:45:45 GMT 2024","162","","api.test.update.UpdateCardIdValidationTest","","api.test.update.UpdateCardIdValidationTest","checkUpdateCardWithInvalidCredentials","checkUpdateCardWithInvalidCredentials(AuthValidationArgumentsHolder) [1] api.arguments.holders.AuthValidationArgumentsHolder@40a38a44",""
"passed","Tue Apr 23 12:45:41 GMT 2024","Tue Apr 23 12:45:42 GMT 2024","268","","api.test.get.GetBoardsValidationTest","","api.test.get.GetBoardsValidationTest","checkGetCardWithAnotherUserCredentials","checkGetCardWithAnotherUserCredentials()",""
"passed","Tue Apr 23 12:45:43 GMT 2024","Tue Apr 23 12:45:44 GMT 2024","590","","api.test.update.UpdateBoardValidationTest","","api.test.update.UpdateBoardValidationTest","checkUpdateBoardWithInvalidAuth","checkUpdateBoardWithInvalidAuth(AuthValidationArgumentsHolder) [3] api.arguments.holders.AuthValidationArgumentsHolder@3f78a75",""
"passed","Tue Apr 23 12:45:46 GMT 2024","Tue Apr 23 12:45:46 GMT 2024","148","","api.test.update.UpdateCardIdValidationTest","","api.test.update.UpdateCardIdValidationTest","checkUpdateCardWithAnotherUserCredentials","checkUpdateCardWithAnotherUserCredentials()",""
"passed","Tue Apr 23 12:45:37 GMT 2024","Tue Apr 23 12:45:37 GMT 2024","144","","api.test.delete.DeleteBoardValidationTest","","api.test.delete.DeleteBoardValidationTest","checkDeleteBoardWithAnotherUserCredentials","checkDeleteBoardWithAnotherUserCredentials()",""
"passed","Tue Apr 23 12:45:37 GMT 2024","Tue Apr 23 12:45:37 GMT 2024","177","","api.test.delete.DeleteBoardValidationTest","","api.test.delete.DeleteBoardValidationTest","checkDeleteBoardWithInvalidId","checkDeleteBoardWithInvalidId(BoardIdValidationArgumentsHolder) [2] api.arguments.holders.BoardIdValidationArgumentsHolder@5f84e764",""
"passed","Tue Apr 23 12:45:32 GMT 2024","Tue Apr 23 12:45:33 GMT 2024","231","","api.test.create.CreateBoardValidationTest","","api.test.create.CreateBoardValidationTest","checkCreateBoardWithInvalidName","checkCreateBoardWithInvalidName(Map) [1] {name=1234}",""
"passed","Tue Apr 23 12:45:37 GMT 2024","Tue Apr 23 12:45:37 GMT 2024","149","","api.test.delete.DeleteBoardValidationTest","","api.test.delete.DeleteBoardValidationTest","checkDeleteBoardWithInvalidAuth","checkDeleteBoardWithInvalidAuth(AuthValidationArgumentsHolder) [2] api.arguments.holders.AuthValidationArgumentsHolder@22ca5fe1",""
