"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 12:54:06 GMT 2024","Tue Apr 23 12:54:06 GMT 2024","102","","api.test.delete.DeleteBoardValidationTest","","api.test.delete.DeleteBoardValidationTest","checkDeleteBoardWithInvalidAuth","checkDeleteBoardWithInvalidAuth(AuthValidationArgumentsHolder) [3] api.arguments.holders.AuthValidationArgumentsHolder@7c3b8b26",""
"passed","Tue Apr 23 12:54:10 GMT 2024","Tue Apr 23 12:54:10 GMT 2024","156","","api.test.get.GetCardIdValidationTest","","api.test.get.GetCardIdValidationTest","checkGetBoardWithInvalidAuth","checkGetBoardWithInvalidAuth(AuthValidationArgumentsHolder) [2] api.arguments.holders.AuthValidationArgumentsHolder@39caf68a",""
"passed","Tue Apr 23 12:54:10 GMT 2024","Tue Apr 23 12:54:10 GMT 2024","102","","api.test.get.GetCardIdValidationTest","","api.test.get.GetCardIdValidationTest","checkGetBoardWithInvalidAuth","checkGetBoardWithInvalidAuth(AuthValidationArgumentsHolder) [3] api.arguments.holders.AuthValidationArgumentsHolder@3f4b52fa",""
"passed","Tue Apr 23 12:54:09 GMT 2024","Tue Apr 23 12:54:10 GMT 2024","154","","api.test.get.GetCardIdValidationTest","","api.test.get.GetCardIdValidationTest","checkGetBoardWithInvalidAuth","checkGetBoardWithInvalidAuth(AuthValidationArgumentsHolder) [1] api.arguments.holders.AuthValidationArgumentsHolder@69924070",""
"passed","Tue Apr 23 12:54:11 GMT 2024","Tue Apr 23 12:54:11 GMT 2024","133","","api.test.update.UpdateBoardValidationTest","","api.test.update.UpdateBoardValidationTest","checkUpdateBoardWithAnotherUserCredentials","checkUpdateBoardWithAnotherUserCredentials()",""
"passed","Tue Apr 23 12:54:13 GMT 2024","Tue Apr 23 12:54:13 GMT 2024","116","","api.test.update.UpdateCardIdValidationTest","","api.test.update.UpdateCardIdValidationTest","checkUpdateCardWithAnotherUserCredentials","checkUpdateCardWithAnotherUserCredentials()",""
"passed","Tue Apr 23 12:54:11 GMT 2024","Tue Apr 23 12:54:11 GMT 2024","136","","api.test.update.UpdateBoardValidationTest","","api.test.update.UpdateBoardValidationTest","checkUpdateBoardWithInvalidId","checkUpdateBoardWithInvalidId(BoardIdValidationArgumentsHolder) [1] api.arguments.holders.BoardIdValidationArgumentsHolder@17746fcb",""
"passed","Tue Apr 23 12:54:11 GMT 2024","Tue Apr 23 12:54:11 GMT 2024","138","","api.test.update.UpdateBoardValidationTest","","api.test.update.UpdateBoardValidationTest","checkUpdateBoardWithInvalidAuth","checkUpdateBoardWithInvalidAuth(AuthValidationArgumentsHolder) [1] api.arguments.holders.AuthValidationArgumentsHolder@14eae244",""
"passed","Tue Apr 23 12:54:12 GMT 2024","Tue Apr 23 12:54:13 GMT 2024","144","","api.test.update.UpdateCardIdValidationTest","","api.test.update.UpdateCardIdValidationTest","checkUpdateCardWithInvalidId","checkUpdateCardWithInvalidId(CardIdValidationArgumentsHolder) [1] api.arguments.holders.CardIdValidationArgumentsHolder@1bf64e55",""
"passed","Tue Apr 23 12:54:05 GMT 2024","Tue Apr 23 12:54:05 GMT 2024","147","","api.test.delete.DeleteBoardValidationTest","","api.test.delete.DeleteBoardValidationTest","checkDeleteBoardWithInvalidId","checkDeleteBoardWithInvalidId(BoardIdValidationArgumentsHolder) [1] api.arguments.holders.BoardIdValidationArgumentsHolder@7f129873",""
"passed","Tue Apr 23 12:54:10 GMT 2024","Tue Apr 23 12:54:10 GMT 2024","158","","api.test.get.GetCardIdValidationTest","","api.test.get.GetCardIdValidationTest","getCardWithInvalidId","getCardWithInvalidId(CardIdValidationArgumentsHolder) [1] api.arguments.holders.CardIdValidationArgumentsHolder@6ef7e510",""
