"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 10:21:08 GMT 2024","Fri Apr 19 10:21:08 GMT 2024","204","","api.test.get.GetBoardsTest","","api.test.get.GetBoardsTest","checkGetCards","checkGetCards()",""
"passed","Fri Apr 19 10:21:05 GMT 2024","Fri Apr 19 10:21:06 GMT 2024","132","","api.test.delete.DeleteBoardValidationTest","","api.test.delete.DeleteBoardValidationTest","checkDeleteBoardWithInvalidAuth","checkDeleteBoardWithInvalidAuth(AuthValidationArgumentsHolder) [2] api.arguments.holders.AuthValidationArgumentsHolder@4c24063c",""
"passed","Fri Apr 19 10:21:09 GMT 2024","Fri Apr 19 10:21:09 GMT 2024","104","","api.test.get.GetCardIdValidationTest","","api.test.get.GetCardIdValidationTest","checkGetBoardWithInvalidAuth","checkGetBoardWithInvalidAuth(AuthValidationArgumentsHolder) [3] api.arguments.holders.AuthValidationArgumentsHolder@58435220",""
"passed","Fri Apr 19 10:21:05 GMT 2024","Fri Apr 19 10:21:05 GMT 2024","125","","api.test.delete.DeleteBoardValidationTest","","api.test.delete.DeleteBoardValidationTest","checkDeleteBoardWithInvalidAuth","checkDeleteBoardWithInvalidAuth(AuthValidationArgumentsHolder) [1] api.arguments.holders.AuthValidationArgumentsHolder@62291850",""
"passed","Fri Apr 19 10:20:54 GMT 2024","Fri Apr 19 10:21:01 GMT 2024","6432","","api.test.create.CreateBoardTest","","api.test.create.CreateBoardTest","checkCreateBoard","checkCreateBoard()",""
"passed","Fri Apr 19 10:21:06 GMT 2024","Fri Apr 19 10:21:06 GMT 2024","100","","api.test.delete.DeleteBoardValidationTest","","api.test.delete.DeleteBoardValidationTest","checkDeleteBoardWithInvalidAuth","checkDeleteBoardWithInvalidAuth(AuthValidationArgumentsHolder) [3] api.arguments.holders.AuthValidationArgumentsHolder@2d28114b",""
"passed","Fri Apr 19 10:21:09 GMT 2024","Fri Apr 19 10:21:09 GMT 2024","117","","api.test.get.GetBoardsValidationTest","","api.test.get.GetBoardsValidationTest","checkGetCardWithAnotherUserCredentials","checkGetCardWithAnotherUserCredentials()",""
"passed","Fri Apr 19 10:21:08 GMT 2024","Fri Apr 19 10:21:08 GMT 2024","136","","api.test.get.GetBoardsValidationTest","","api.test.get.GetBoardsValidationTest","checkGetBoardWithInvalidAuth","checkGetBoardWithInvalidAuth(AuthValidationArgumentsHolder) [2] api.arguments.holders.AuthValidationArgumentsHolder@27cc84a2",""
"passed","Fri Apr 19 10:21:12 GMT 2024","Fri Apr 19 10:21:12 GMT 2024","129","","api.test.update.UpdateCardIdValidationTest","","api.test.update.UpdateCardIdValidationTest","checkUpdateCardWithInvalidId","checkUpdateCardWithInvalidId(CardIdValidationArgumentsHolder) [1] api.arguments.holders.CardIdValidationArgumentsHolder@6d512521",""
"passed","Fri Apr 19 10:21:11 GMT 2024","Fri Apr 19 10:21:11 GMT 2024","125","","api.test.update.UpdateBoardValidationTest","","api.test.update.UpdateBoardValidationTest","checkUpdateBoardWithInvalidId","checkUpdateBoardWithInvalidId(BoardIdValidationArgumentsHolder) [1] api.arguments.holders.BoardIdValidationArgumentsHolder@47d32e33",""
"passed","Fri Apr 19 10:21:09 GMT 2024","Fri Apr 19 10:21:09 GMT 2024","130","","api.test.get.GetBoardsValidationTest","","api.test.get.GetBoardsValidationTest","checkGetBoardWithInvalidId","checkGetBoardWithInvalidId(BoardIdValidationArgumentsHolder) [2] api.arguments.holders.BoardIdValidationArgumentsHolder@29e94753",""
"passed","Fri Apr 19 10:21:11 GMT 2024","Fri Apr 19 10:21:12 GMT 2024","110","","api.test.update.UpdateCardIdValidationTest","","api.test.update.UpdateCardIdValidationTest","checkUpdateCardWithInvalidCredentials","checkUpdateCardWithInvalidCredentials(AuthValidationArgumentsHolder) [3] api.arguments.holders.AuthValidationArgumentsHolder@29ee8374",""
"passed","Fri Apr 19 10:21:08 GMT 2024","Fri Apr 19 10:21:08 GMT 2024","191","","api.test.get.GetBoardsTest","","api.test.get.GetBoardsTest","checkGetCard","checkGetCard()",""
